vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
4.700000e-01	2.118244e-11	3.484967e-13	3.039116e+01	3.348724e+02	2.665001e+03	7.948380e-15	6.325525e-14	-5.423350e-01	2.000000e-01
4.800000e-01	2.863332e-11	4.721120e-13	3.032471e+01	3.341399e+02	3.609813e+03	7.932077e-15	8.569259e-14	-5.323350e-01	2.000000e-01
4.900000e-01	3.866399e-11	6.391177e-13	3.024794e+01	3.332937e+02	4.882264e+03	7.919276e-15	1.160058e-13	-5.223350e-01	2.000000e-01
5.000000e-01	5.214480e-11	8.644867e-13	3.015940e+01	3.323176e+02	6.592142e+03	7.910146e-15	1.569126e-13	-5.123350e-01	2.000000e-01
5.100000e-01	7.022715e-11	1.168215e-12	3.005746e+01	3.311937e+02	8.884038e+03	7.904868e-15	2.120426e-13	-5.023350e-01	2.000000e-01
5.200000e-01	9.442759e-11	1.576929e-12	2.994034e+01	3.299022e+02	1.194736e+04	7.903638e-15	2.862290e-13	-4.923350e-01	2.000000e-01
5.300000e-01	1.267335e-10	2.125967e-12	2.980609e+01	3.284217e+02	1.602870e+04	7.906664e-15	3.858865e-13	-4.823350e-01	2.000000e-01
5.400000e-01	1.697345e-10	2.862047e-12	2.965264e+01	3.267292e+02	2.144691e+04	7.914170e-15	5.194959e-13	-4.723350e-01	2.000000e-01
5.500000e-01	2.267826e-10	3.846671e-12	2.947777e+01	3.248003e+02	2.861107e+04	7.926393e-15	6.982216e-13	-4.623350e-01	2.000000e-01
5.600000e-01	3.021849e-10	5.160398e-12	2.927922e+01	3.226096e+02	3.804136e+04	7.943587e-15	9.366889e-13	-4.523350e-01	2.000000e-01
5.700000e-01	4.014298e-10	6.908177e-12	2.905468e+01	3.201318e+02	5.039279e+04	7.966017e-15	1.253952e-12	-4.423350e-01	2.000000e-01
5.800000e-01	5.314462e-10	9.225886e-12	2.880191e+01	3.173416e+02	6.648096e+04	7.993962e-15	1.674682e-12	-4.323350e-01	2.000000e-01
5.900000e-01	7.008924e-10	1.228824e-11	2.851882e+01	3.142159e+02	8.730906e+04	8.027718e-15	2.230608e-12	-4.223350e-01	2.000000e-01
6.000000e-01	9.204660e-10	1.631822e-11	2.820362e+01	3.107345e+02	1.140943e+05	8.067592e-15	2.962227e-12	-4.123350e-01	2.000000e-01
6.100000e-01	1.203224e-09	2.159806e-11	2.785491e+01	3.068815e+02	1.482916e+05	8.113904e-15	3.920810e-12	-4.023350e-01	2.000000e-01
6.200000e-01	1.564898e-09	2.848183e-11	2.747187e+01	3.026473e+02	1.916127e+05	8.166984e-15	5.170700e-12	-3.923350e-01	2.000000e-01
6.300000e-01	2.024188e-09	3.740956e-11	2.705443e+01	2.980302e+02	2.460369e+05	8.227171e-15	6.791890e-12	-3.823350e-01	2.000000e-01
6.400000e-01	2.603019e-09	4.892275e-11	2.660336e+01	2.930382e+02	3.138129e+05	8.294813e-15	8.882867e-12	-3.723350e-01	2.000000e-01
6.500000e-01	3.326760e-09	6.368106e-11	2.612048e+01	2.876902e+02	3.974500e+05	8.370259e-15	1.156369e-11	-3.623350e-01	2.000000e-01
6.600000e-01	4.224407e-09	8.247998e-11	2.560868e+01	2.820169e+02	4.997011e+05	8.453866e-15	1.497927e-11	-3.523350e-01	2.000000e-01
6.700000e-01	5.328766e-09	1.062694e-10	2.507196e+01	2.760614e+02	6.235402e+05	8.545987e-15	1.930283e-11	-3.423350e-01	2.000000e-01
6.800000e-01	6.676688e-09	1.361733e-10	2.451540e+01	2.698781e+02	7.721419e+05	8.646971e-15	2.473964e-11	-3.323350e-01	2.000000e-01
6.900000e-01	8.309427e-09	1.735107e-10	2.394499e+01	2.635316e+02	9.488725e+05	8.757159e-15	3.153105e-11	-3.223350e-01	2.000000e-01
7.000000e-01	1.027322e-08	2.198190e-10	2.336745e+01	2.570940e+02	1.157301e+06	8.876879e-15	3.995901e-11	-3.123350e-01	2.000000e-01
7.100000e-01	1.262020e-08	2.768812e-10	2.278993e+01	2.506424e+02	1.401242e+06	9.006441e-15	5.035143e-11	-3.023350e-01	2.000000e-01
7.200000e-01	1.540973e-08	3.467582e-10	2.221971e+01	2.442549e+02	1.684836e+06	9.146131e-15	6.308873e-11	-2.923350e-01	2.000000e-01
